id,name,page,image,card_crop,header_bbox_pt
P0001,آچار یکسررینگی,2,products/P0001.jpg,cards/P0001.jpg,"[28.78, 36.58, 559.95, 20.99]"
P0002,آچار دوسررینگی,3,products/P0002.jpg,cards/P0002.jpg,"[28.78, 36.58, 282.97, 20.99]"
P0003,آچار دوسرتخت,3,products/P0003.jpg,cards/P0003.jpg,"[312.95, 36.58, 275.78, 20.99]"
P0004,آچار دوسر چاکدار,3,products/P0004.jpg,cards/P0004.jpg,"[28.78, 529.5, 282.97, 20.39]"
P0005,آچار دوسربکسی,3,products/P0005.jpg,cards/P0005.jpg,"[312.95, 529.5, 275.78, 20.39]"
P0006,آچار دوسررینگی هاللی,4,products/P0006.jpg,cards/P0006.jpg,"[28.78, 36.58, 282.97, 20.99]"
P0007,آچار یکسررینگی جغجغه ایی,4,images/P0007.jpg,cards/P0007.jpg,"[312.95, 36.58, 275.78, 20.99]"
P0008,آچار دوسررینگی S شکل,4,images/P0008.jpg,cards/P0008.jpg,"[28.78, 274.64, 282.97, 20.39]"
P0009,آچار دوسررینگی جغجغه ای,4,images/P0009.jpg,cards/P0009.jpg,"[312.95, 404.17, 275.78, 20.39]"
P0010,آچار دوسر ستاره ایی E8 * E6,4,images/P0010.jpg,cards/P0010.jpg,"[28.78, 490.52, 282.97, 20.99]"
P0011,ریل بکسی 8 / 3 چاکدار ( 19 – 10 ),4,products/P0011.jpg,cards/P0011.jpg,"[312.95, 654.83, 275.78, 20.99]"
P0012,آچار یکسررینگی 12 عددی ( 32 – 8 ),5,products/P0012.jpg,cards/P0012.jpg,"[28.78, 36.58, 195.44, 20.99]"
P0013,آچار یکسررینگی 12 عددی ( 24 – 8 ),5,products/P0013.jpg,cards/P0013.jpg,"[224.82, 36.58, 182.25, 20.99]"
P0014,آچار یکسررینگی 8 عددی ( 19 – 8 ),5,products/P0014.jpg,cards/P0014.jpg,"[407.67, 36.58, 181.05, 20.99]"
P0015,آچار یکسررینگی 25 عددی ( 32 – 6 ),5,products/P0015.jpg,cards/P0015.jpg,"[28.78, 187.69, 195.44, 20.99]"
P0016,آچار یکسررینگی 18 عددی ( 32 – 8 ),5,products/P0016.jpg,cards/P0016.jpg,"[224.82, 187.69, 182.25, 20.99]"
P0017,آچار یکسررینگی 14 عددی ( 32 – 10 ),5,products/P0017.jpg,cards/P0017.jpg,"[407.67, 187.69, 181.05, 20.99]"
P0018,آچار دوسرتخت 12 عددی,5,products/P0018.jpg,cards/P0018.jpg,"[28.78, 339.41, 195.44, 20.39]"
P0019,آچار دوسرتخت 8 عددی,5,products/P0019.jpg,cards/P0019.jpg,"[224.82, 339.41, 182.25, 20.39]"
P0020,آچار یکسررینگی 14 عددی اینچی,5,products/P0020.jpg,cards/P0020.jpg,"[407.67, 339.41, 181.05, 20.39]"
P0021,آچار دوسررینگی 12 عددی,5,products/P0021.jpg,cards/P0021.jpg,"[28.78, 490.52, 195.44, 20.99]"
P0022,آچار دوسررینگی 8 عددی,5,products/P0022.jpg,cards/P0022.jpg,"[224.82, 490.52, 182.25, 20.99]"
P0023,آچار دوسررینگی 7 عددی,5,products/P0023.jpg,cards/P0023.jpg,"[407.67, 490.52, 181.05, 20.99]"
P0024,آچار یکسررینگی 16 عددی جعبه فلزی,5,products/P0024.jpg,cards/P0024.jpg,"[28.78, 641.63, 195.44, 20.99]"
P0025,آچار یکسررینگی 16 عددی,5,products/P0025.jpg,cards/P0025.jpg,"[224.82, 641.63, 182.25, 20.99]"
P0026,آچار دوسررینگی چاکدار 6 عددی,5,products/P0026.jpg,cards/P0026.jpg,"[407.67, 641.63, 181.05, 20.99]"
P0027,آچار دوسرستاره ایی 6 عددی کیفی,6,products/P0027.jpg,cards/P0027.jpg,"[28.78, 36.58, 187.05, 20.99]"
P0028,آچار دوسرستاره ایی 4 عددی,6,products/P0028.jpg,cards/P0028.jpg,"[216.43, 36.58, 183.45, 20.99]"
P0029,آچار دوسرستاره ایی 6 عددی ( E24 – E6 ),6,products/P0029.jpg,cards/P0029.jpg,"[401.08, 36.58, 187.65, 20.99]"
P0030,آچار یکسر جغجغه ایی 7 عددی کیفی,6,products/P0030.jpg,cards/P0030.jpg,"[28.78, 187.69, 187.05, 20.99]"
P0031,آچار دوسربکسی 6 عددی,6,products/P0031.jpg,cards/P0031.jpg,"[216.43, 187.69, 183.45, 20.99]"
P0032,آچار دوسر هاللی 6 عددی,6,products/P0032.jpg,cards/P0032.jpg,"[401.08, 187.69, 187.65, 20.99]"
P0033,آچار یکسرجغجغه کوتاه 7 عددی,6,products/P0033.jpg,cards/P0033.jpg,"[28.78, 339.41, 187.05, 20.39]"
P0034,آچار یکسررینگی جغجغه ایی 7 عددی,6,products/P0034.jpg,cards/P0034.jpg,"[216.43, 339.41, 183.45, 20.39]"
P0035,آچار یکسر جغجغه ایی 12 عددی کیفی,6,products/P0035.jpg,cards/P0035.jpg,"[401.08, 339.41, 187.65, 20.39]"
P0036,آچار یکسرجغجغه سرلوالیی 7 عددی,6,products/P0036.jpg,cards/P0036.jpg,"[28.78, 494.72, 187.05, 20.99]"
P0037,آچار یکسرجغجغه ضامندار 7 عددی,6,products/P0037.jpg,cards/P0037.jpg,"[216.43, 494.72, 183.45, 20.99]"
P0038,آچار دوسرجغجغه ایی 7 عددی,6,products/P0038.jpg,cards/P0038.jpg,"[401.08, 494.72, 187.65, 20.99]"
P0039,تست باطری دیجیتال,6,products/P0039.jpg,cards/P0039.jpg,"[28.78, 645.83, 187.05, 20.99]"
P0040,تست باطری آمپری,6,products/P0040.jpg,cards/P0040.jpg,"[216.43, 645.83, 183.45, 20.99]"
P0041,ترمومتر لیزری ( 500 تا 20 - ) سلپرو,6,products/P0041.jpg,cards/P0041.jpg,"[401.08, 645.83, 187.65, 20.99]"
P0042,ترکمتر های جغجغه ایی ( دسته فلزی ),7,products/P0042.jpg,cards/P0042.jpg,"[28.78, 36.58, 559.95, 20.99]"
P0043,ترکمتر های جغجغه ایی ( دسته پالستیکی ),7,products/P0043.jpg,cards/P0043.jpg,"[28.78, 253.06, 559.95, 20.39]"
P0044,ترکمترهای تقه ای و دیجیتال,7,products/P0044.jpg,cards/P0044.jpg,"[28.78, 512.11, 559.95, 20.99]"
P0045,ترکمتر 1/2 درایو ( 210 – 40 ) نیوتن با سری تعویض شو,7,products/P0045.jpg,cards/P0045.jpg,"[28.78, 663.22, 283.57, 20.99]"
P0046,ترکمتر 1/2 درایو ( 210 – 40 ) نیوتن با متعلقات ( 11 عددی ),7,products/P0046.jpg,cards/P0046.jpg,"[313.55, 663.22, 275.18, 20.99]"
P0047,جعبه ابزار 7 کشو کامل ( 365 پارچه ) چرخ دار,8,products/P0047.jpg,cards/P0047.jpg,"[28.78, 36.58, 559.95, 20.99]"
P0048,جعبه بکس 4 / 1 درایو ( 57 عددی ),9,products/P0048.jpg,cards/P0048.jpg,"[28.78, 36.58, 195.44, 20.99]"
P0049,جعبه بکس 4 / 1 درایو ( 46 عددی ),9,products/P0049.jpg,cards/P0049.jpg,"[224.82, 36.58, 182.25, 20.99]"
P0050,جعبه بکس 4 / 1 درایو ( 24 عددی ),9,products/P0050.jpg,cards/P0050.jpg,"[407.67, 36.58, 181.05, 20.99]"
P0051,جعبه بکس 2 / 1 درایو 24 عددی مشکی,9,products/P0051.jpg,cards/P0051.jpg,"[28.78, 187.69, 195.44, 20.99]"
P0052,جعبه بکس ( 4 / 1 - 8 / 3 ) درایو 40 عددی,9,products/P0052.jpg,cards/P0052.jpg,"[224.82, 187.69, 182.25, 20.99]"
P0053,جعبه بکس 8 / 3 درایو 20 عددی ( 22 – 6 ),9,products/P0053.jpg,cards/P0053.jpg,"[407.67, 187.69, 181.05, 20.99]"
P0054,جعبه بکس 2 / 1 درایو 24 عددی ( اینچی ),9,products/P0054.jpg,cards/P0054.jpg,"[28.78, 339.41, 195.44, 20.39]"
P0055,جعبه بکس 2 / 1 درایو 24 عددی ( هندلی دار ),9,products/P0055.jpg,cards/P0055.jpg,"[224.82, 339.41, 182.25, 20.39]"
